Index,lat,lon,Date,OLR_w/m2,co2_conc,avg_temp_kelvin
1,20,70,16/1/2010,316.7965,387.651,298.386
2,20,72.5,16/1/2010,318.219,386.994,297.543
3,20,75,16/1/2010,319.063,386.437,293.841
4,22,70,16/1/2010,316.3285,388.946,294.664
5,22,72.5,16/1/2010,314.906,386.007,295.555
6,22,75,16/1/2010,309.5,387.049,292.521
7,24,70,16/1/2010,315.1405,388.533,292.72
8,24,72.5,16/1/2010,322.094,386.43,293.383
9,24,75,16/1/2010,301.6875,388.734,291.53
10,20,70,15/2/2010,323.9065,388.914,298.109
11,20,72.5,15/2/2010,322.3905,387.977,297.551
12,20,75,15/2/2010,322.4685,387.025,298.31
13,22,70,15/2/2010,324.344,389.473,295.769
14,22,72.5,15/2/2010,319.406,388.442,296.985
15,22,75,15/2/2010,309.25,388.69,297.166
16,24,70,15/2/2010,321.797,390.307,295.108
17,24,72.5,15/2/2010,331.437,388.844,295.619
18,24,75,15/2/2010,298.0785,388.832,294.801
19,20,70,16/3/2010,349.672,388.719,294.801
20,20,72.5,16/3/2010,347.2815,389.192,299.991
21,20,75,16/3/2010,339.7655,389.237,302.396
22,22,70,16/3/2010,349.172,388.939,301.11
23,22,72.5,16/3/2010,338.641,388.26,302.355
24,22,75,16/3/2010,319.7655,389.239,302.709
25,24,70,16/3/2010,347.5625,388.952,301.991
26,24,72.5,16/3/2010,350.0155,389.6,301.687
27,24,75,16/3/2010,304.156,389.461,301.018
28,20,70,16/4/2010,355.578,389.755,301.457
29,20,72.5,16/4/2010,358.5935,389.138,302.006
30,20,75,16/4/2010,346.6565,389.112,305.399
31,22,70,16/4/2010,349.9375,391.218,304.586
32,22,72.5,16/4/2010,344.5155,389.244,305.92
33,22,75,16/4/2010,322.641,389.455,306.257
34,24,70,16/4/2010,349.4685,390.377,305.796
35,24,72.5,16/4/2010,348.1095,389.832,306.081
36,24,75,16/4/2010,303.484,389.643,305.53
37,20,70,16/5/2010,354.172,391.767,302.626
38,20,72.5,16/5/2010,352.4065,391.567,303.134
39,20,75,16/5/2010,342.8905,392.067,306.479
40,22,70,16/5/2010,349.859,391.324,305.821
41,22,72.5,16/5/2010,347.172,390.467,307.752
42,22,75,16/5/2010,324.3905,391.496,308.182
43,24,70,16/5/2010,349.625,391.11,307.828
44,24,72.5,16/5/2010,352.047,391.074,308.559
45,24,75,16/5/2010,313.3435,391.46,308.343
46,20,70,16/6/2010,327.2035,390.203,303.044
47,20,72.5,16/6/2010,309.375,388.945,302.878
48,20,75,16/6/2010,296.828,390.404,301.662
49,22,70,16/6/2010,322.922,394.6630477,304.322
50,22,72.5,16/6/2010,305.563,391.33,305.255
51,22,75,16/6/2010,286.8285,391.583,304.527
52,24,70,16/6/2010,328.781,392.616,306.653
53,24,72.5,16/6/2010,309.375,391.914,307.119
54,24,75,16/6/2010,286.297,391.144,306.348
55,20,70,16/7/2010,291.297,389.191,302.029
56,20,72.5,16/7/2010,285.8125,385.45,301.576
57,20,75,16/7/2010,281.5315,388.403,298.87
58,22,70,16/7/2010,288.6565,389.51,301.56
