Year,avg_temp,co2_conc,OLR
2009/01/01,23,386.94,294.219
2009/02/01,22,387.48,290.375
2009/03/01,22,388.82,293.25
2009/04/01,22,389.55,288.062
2009/05/01,24,390.14,300.969
2009/06/01,25,389.48,305.344
2009/07/01,25,388.03,294.875
2009/08/01,26,386.11,301.188
2009/08/01,26,384.74,301.125
2009/10/01,26,384.43,299.688
2009/11/01,25,386.02,293.125
2009/12/01,24,387.42,302.562
2010/01/01,23,388.71,309.594
2010/02/01,23,390.2,311.781
       2010/03//01,23,391.17,304.656
2010/04/01,23,392.46,303.75
2010/05/01,24,393,309.5
2010/06/01,24,392.15,309.719
2010/07/01,25,390.2,310.469
2010/08/01,25,388.35,311.062
2010/09/01,25,386.85,309.125
2010/10/01,25,387.24,300.094
2010/11/01,25,388.67,294.781
2010/12/01,24,389.79,288.844
2011/01/01,23,391.33,294.188
2011/02/01,24,391.86,285.625
2011/03/01,23,392.6,295.125
2011/04/01,24,393.25,291.312
2011/05/01,24,394.19,289.312
2011/06/01,25,393.74,289.875
2011/07/01,25,392.51,307.594
2011/08/01,25,390.13,303.312
2011/09/01,25,389.08,299.969
2011/10/01,25,389,297.219
2011/11/01,24,390.28,284.625
2011,23,391.86,288.5
2012/01/01,23,393.12,299.594
2012/02/01,23,393.86,297.281
2012/03/01,23,394.4,294.969
2012/04/01,23,396.18,299.875
2012/05/01,24,396.74,303.875
2012/06/01,24,395.71,303.969
2012/07/01,24,394.36,302.562
2012/08/01,25,392.39,305.094
2012/09/01,25,391.11,300.125
2012/10/01,25,391.05,298.156
2012/11/01,24,392.98,299.75
2012/12/01,24,394.34,295.094
2013/01/01,23,395.55,297.719
2013/02/01,22,396.8,301.562
2013/03/01,22,397.43,294
2013/04/01,24,398.41,297.281
2013/05/01,24,399.78,294.719
2013/06/01,25,398.61,299.281
2013/07/01,25,397.32,301.312
2013/08/01,26,395.2,304.062
2013/09/01,26,393.45,302.281
2013/10/01,26,393.7,287
2013/11/01,25,395.16,291.625
2013/12/01,24,396.84,289.938
2014/01/01,23,397.85,297.781
2014/02/01,24,398.01,293.781
2014/03/01,23,399.77,296.281
2014/04/01,23,401.38,296.812
2014/05/01,25,401.78,298.781
2014/06/01,25,401.25,302.75
2014/07/01,26,399.1,298.438
2014/08/01,26,397.03,305.5
2014/09/01,27,395.38,297.719
2014/10/01,27,396.03,293.188
2014/11/01,25,397.28,298.375
2014/12/01,23,398.91,301.875
2011/12/01,23,399.98,307.906
2015/02/01,23,400.28,298.938
2015/03/01,23,401.54,297.969
2015/04/01,24,403.28,295.531
2015/05/01,24,403.96,301.219
2015/06/01,25,402.8,304.656
2015/07/01,27,401.31,299.156
2015/08/01,27,398.93,292
2015/09/01,27,397.63,291.781
2015/10/01,26,398.29,299.594
2015/11/01,26,400.16,294
2015/12/01,25,401.85,304.562
