lat,lon,2010/01/16,2010/02/15,2010/03/16,2010/04/16,2010/05/16,2010/06/16,2010/07/16,2010/08/16,2010/09/16,2010/10/16,2010/11/16,2010/12/16,2011/01/16,2011/02/15,2011/03/16,2011/04/16,2011/05/16,2011/06/16,2011/07/16,2011/08/16,2011/09/16,2011/10/16,2011/11/16,2011/12/16,2012/01/16,2012/02/15,2012/03/16,2012/04/16,2012/05/16,2012/06/16,2012/07/16,2012/08/16,2012/09/16,2012/10/16,2012/11/16,2012/12/16,2013/01/16,2013/02/15,2013/03/16,2013/04/16,2013/05/16,2013/06/16,2013/07/16,2013/08/16,2013/09/16,2013/10/16,2013/11/16,2013/12/16,2014/01/16,2014/02/15,2014/03/16,2014/04/16,2014/05/16,2014/06/16,2014/07/16,2014/08/16,2014/09/16,2014/10/16,2014/11/16,2014/12/16,2015/01/16,2015/02/15,2015/03/16,2015/04/16,2015/05/16,2015/06/16,2015/07/16,2015/08/16,2015/09/16,2015/10/16,2015/11/16,2015/12/16,2016/01/16,2016/02/15,2016/03/16,2016/04/16,2016/05/16
19.5,70.5,315.781,322.375,348,355.406,353.594,327.719,291.719,284.469,298.938,323.812,307.75,314.562,307.875,316.125,341.156,339.906,348.906,324.219,287.562,283.062,298.281,327.094,319.406,312.219,301.969,310.688,343.125,336.344,342.594,319,291,280.875,293.656,321.75,318,307,302.906,307.344,331.031,334.969,351.094,299.344,281.531,283.312,297.812,314.406,313.438,308.594,294.875,304.594,319.719,337.375,338.594,325.531,297.531,291.938,302.656,320.969,315.5,306.219,302.156,310.625,316.625,332.844,347.719,308.906,294.312,290,306.375,326.688,316.531,312.344,308.188,318.531,323.844,339.312,343.062
19.5,71.5,315.5,323.844,350.781,360.688,355.281,320.219,289.406,282.719,294.594,323.531,307.406,318,314.312,320.938,348.781,342.531,351.062,315.656,286.719,280.219,294.375,329.344,324.125,315.562,305,316.625,350,342.5,344.5,313.438,286.625,277.406,290.438,324.125,322.625,309.75,304.812,308.406,335.75,342.562,353.844,295.969,277.5,280.531,293.062,316.094,318.312,310.969,297.031,306.75,323.094,343.938,342.906,322.812,294.469,285.281,298.125,322.281,321.094,310.188,305.594,315.312,322.312,337.031,352.156,305.25,293.656,284.344,303.25,327.875,318.312,315.562,311.219,322.969,333.094,344.531,344.5
19.5,72.5,315.25,319.219,345.688,359.625,352.969,311.125,287.125,281.125,292.219,317.062,305.344,317,312.781,320.625,345,341.656,346.5,308.188,284.75,280.375,291.625,323.25,325.594,321.156,309.688,321.094,352.375,344.281,340.844,309.375,285.562,277.125,288.562,319.594,323.094,313.844,308.219,310.281,337.625,343.312,350.438,292.312,276.156,279.094,290.688,311.406,319.594,315.688,303.438,312,323.312,343.875,341.969,318.688,291.969,285.094,295.594,318.281,318.344,310.656,305.781,315,322.625,336.469,347.969,302.906,294.281,283.438,298.438,322.156,318.188,317.438,315.594,324.344,332.688,343.406,341.125
19.5,73.5,320.094,321.438,343.25,356.656,351.625,305.75,284.75,282.438,290.781,310.125,301.844,319.688,319.656,328.719,348.906,344.25,344.406,306.531,284.531,280.812,290.875,319.906,326.875,328.219,318.062,330.844,358.156,344.438,343.5,305.188,285.188,280.5,288.656,319.062,324,319.688,316.5,316.438,341.375,344.031,348.469,289.969,278.938,279.844,289.438,308.25,320.719,321.656,311.75,321.562,324.969,345.094,340.344,315.906,290.312,285.219,295.25,315.219,318.375,316.375,314,324.156,325.781,338.031,344.594,303.562,295.656,285,297.031,319.312,318.469,322.688,324.062,329.219,336,342.688,342
19.5,74.5,319.344,321.938,342.406,352.438,349.844,302,283.156,282.281,287.531,306.469,297.719,318.219,321.438,331.156,348.531,343.5,342.438,299,284.656,280.188,289.5,313.344,326.469,330.562,323.469,337.156,364.344,344.5,345.875,304.219,283.156,281.656,288.938,315.719,324,323.625,322.781,325.844,349.312,348.812,347,291.906,277.625,280.844,288.344,303.75,319.406,321.969,312.906,324.562,320.125,342.125,339.219,314.312,288.938,285.594,294.094,310.406,317.875,316.656,318.188,329.344,325.5,340.438,344.094,301.344,295.594,288.375,295.031,315.469,317.094,322.469,329.438,333.312,341.375,345.656,343.781
19.5,75.5,320.188,322.875,341.312,348.375,344.531,298.781,281.688,284.094,286.281,303.938,296.375,318.656,325.031,334.031,347.062,341.438,335.594,295.938,285.875,281.531,290.719,308.469,323.938,332.062,326.562,338.125,360.75,339.844,344.062,302.938,284.406,285.625,289.594,313.344,322.312,323.844,326.344,330.031,350.438,349.75,342.625,291.125,278.469,282.312,290.719,302.031,317.875,323.156,316,328.688,318.094,334.156,335.125,310.781,288.031,286.906,296,308.469,318.031,320.312,322.562,335.156,328.812,341.469,340.719,298.625,297.594,290.281,294.75,315,317,323.062,331.094,335.25,341.438,345.594,343.156
20.5,70.5,317.812,325.438,351.344,355.75,354.75,326.688,290.875,283.812,297.875,322.75,305.438,312.906,305.5,315.125,339.656,340.75,350.562,325.844,286.906,281.969,297.562,325.062,319.156,313.969,304.875,312.281,344.281,335.5,342.531,322.781,290.812,282.281,294.5,319.656,318.062,307.969,305.75,309.125,335.719,335.469,353.969,299.5,281.719,282.312,296.094,315.125,313.469,311.719,298.094,306.969,323.094,340.562,339.969,328.406,297.875,289.062,302.312,320.188,315.406,307.906,304.438,312.25,319.156,335.656,350.469,308.938,294.906,290.969,307.312,327.688,317.625,314.688,311.219,322.625,326.5,343.75,345.406
20.5,71.5,319.125,325.312,349.094,357.375,354.062,317.094,288.406,282.812,295.469,319.688,309.812,320.031,315.5,323.25,346.125,342.688,348.875,317.781,286.812,280.875,294,325.219,323.25,318.406,310.219,318.156,349.812,340.688,344.312,314.281,287.688,280.594,291.5,320.75,322.969,312.906,309.438,312.188,334.812,338.438,350.719,295.25,278.25,280.188,292.875,313.406,317.344,316.094,301.875,309.594,325.312,343.5,342.344,321.562,293.25,285.562,298.688,320.5,319.688,313.75,310.812,318,324.688,337.219,349.562,306.938,295.688,287.062,303.188,326.781,321.156,320.312,315.906,325.812,331.125,342.406,343.312
20.5,72.5,321.188,325.562,348.875,357.562,351.844,307.625,284.5,282.281,291.906,316.25,307.219,320.406,319.5,327.438,350.938,341.781,345.438,311,284.531,280.438,291.812,322.406,326.125,324.344,316.875,326.812,355.938,343.375,343.406,309.031,285.719,280.5,290.094,318.531,324.531,316.625,313.875,318.812,342.969,340.062,348.188,289.625,277.031,278.312,289.875,311.188,319,320,307.781,316.25,328.062,343.031,341.562,317.312,291.156,284.75,296.375,318.562,318.656,315.875,316.188,323.562,328,338.312,345.562,303.219,295.688,285.781,299.438,321.688,321.344,323.125,321.844,329.312,335.031,342.25,340.031
20.5,73.5,320.344,324.094,344.344,354.5,349.438,302.844,283.938,282.594,289.938,311.281,302.281,320.75,322.75,330.906,350.438,343.312,343.188,304.031,284.125,282.219,291.375,319.656,327.594,329.719,321.906,333.031,359.125,344.438,343.312,305.281,283.094,281.969,289.375,318.062,325.312,320.5,319.594,321.25,344.125,341.469,345.281,289.469,277.75,280.531,290.812,309.219,320.625,324.188,314.125,323.625,327.781,344.062,339.875,313.969,289.812,285.719,296.156,316.969,320.094,319.312,321,328.062,329.906,338.781,341.438,303.219,294.938,289,299.875,318.469,321.406,324.969,326.625,330.625,337.375,341.594,339.031
20.5,74.5,319.594,323.938,342.5,350.781,347.875,298.281,281.125,282.062,288.344,308.031,297.812,321.562,324.375,334.5,350.969,344.219,342.688,297.219,283.531,281.75,290.844,315.125,327.906,332.844,326.094,338.094,362.469,344.125,346.531,304.781,278.75,281.5,289.406,315.812,325.5,322.656,325.125,326.562,347.844,346,343.938,290.375,273.938,278.219,290.781,305.312,320.906,325.844,316.969,327.781,325.719,345.156,339.938,313.438,288.25,284.719,294.75,313.688,318.031,319.031,321.938,332.406,328.469,341.969,342.094,301.031,294.281,289.594,298.031,315.781,320.5,325.25,330.969,335.5,340.781,345.219,341.531
20.5,75.5,317.938,322.062,338.219,344.938,341.25,294.875,281.375,282.188,287.125,305.719,295.531,320,325.125,332.656,345.312,340.25,334.188,293.875,282.406,280.375,290.031,309.25,323.969,332.688,327.562,336.344,356.562,340.5,343.938,302.969,280.875,283.25,289.969,309.5,322.125,321.625,324.75,327.375,343.844,346.125,338.312,287.281,274.594,282.156,292.344,303.219,319.531,326.031,318.969,330.219,324.25,339.531,336.594,307.969,288.438,284.156,295.812,310.812,317.906,319.031,323.25,334.375,325.844,340,336.688,297.438,294.281,290.344,296.75,314.156,318.562,322.719,330.188,333.812,338.531,343.281,340.406
21.5,70.5,317.438,323.844,349.656,351.719,351.562,322.5,287.625,283.531,297.281,320.594,306.188,312.219,307.219,315.188,337.969,337.531,347.125,326.781,287.906,282.719,295.281,320.469,317.406,315.719,306.688,314.156,342.562,331.969,341.125,322.75,291.062,283.344,294,317.094,316.344,308.656,308.25,313.25,335.156,332.031,349.25,297.938,281.406,281,295.031,312.812,312.531,314.125,303.875,310,325.188,337.594,336.062,327.531,297.406,287.156,301.906,317.531,313.75,310.719,309.219,315.906,320.344,333.906,347.188,306.719,292.281,292.344,306.688,323.594,316.125,315.625,313.219,325.344,325.656,338.062,342.031
21.5,71.5,317.812,323.812,345.5,348.875,348.969,312.875,286.75,284.281,296.781,318,309.531,317.062,312.344,320.688,341.594,338.125,344.406,319.656,287.375,282.062,295.562,321.344,319.875,318.188,310.188,316.688,345.062,334.75,341.531,314.688,288.75,281.406,294.719,318.188,320.125,311.5,310.625,315.062,334.625,333.219,346,294.375,281.094,282.438,294.25,312.531,314.375,316.281,303.969,310.562,325.969,337.594,335.844,319.844,293.438,284.906,300.906,319.094,316.156,312.062,311.156,316.875,322.219,333.344,344.625,306.531,295.438,288.656,303.625,323,318.969,319.25,315.312,323.531,326.906,336.438,338.219
21.5,72.5,316.656,321.25,341.188,346.781,347.906,305.438,284.75,283.094,293,314.25,308.375,318.281,315.406,323.844,342.469,334.562,340.25,310.469,286.438,281.219,294.312,319.656,321.75,320.875,313.688,320.969,346.5,335.188,340.438,308.281,287.312,281.156,292.656,316.5,322.094,312.719,312.656,317.812,335.719,333.406,343.594,292.031,279.562,281.812,291.812,311.812,316.25,318.375,306.719,313.469,325.688,335.281,335.812,315.281,291,284.312,299.188,317.125,315.375,314.594,315.531,318.875,322.531,333.438,340.812,302.094,295.375,289.375,301.625,320.5,319.219,320.875,319.281,323.969,326.562,332.688,336.438
21.5,73.5,316.875,321.219,338.25,344.25,342.625,297.562,283,281.781,288.531,309.625,301.781,317.75,318.656,326.75,343.031,333.438,337.188,301,282.75,280.938,291.031,315.594,320.688,324.656,318.438,327.125,348.656,337.344,338.375,302.594,283.281,280.031,288.062,312.562,321.562,314.875,316.625,321.094,339,331.969,339.156,288.781,276.906,280.688,289.375,308.75,317.25,321.406,312.281,319.719,327.406,334.562,333.312,309.406,288.25,283.344,295.969,314.719,315.969,316.844,320.344,324.031,324.469,334.438,335.312,300.812,292.375,288.156,298.688,314.969,318.562,320.281,322.75,325.5,330.438,332.25,332.906
21.5,74.5,315.219,320.062,336.281,340.75,340.875,291.156,278.844,278.719,284.438,304.344,296.656,316.375,319.625,328.562,343.719,333.406,334.906,292.312,279.875,277.312,287.812,308.781,320.5,326.562,320.906,329.938,351.125,337,338.656,299.969,276.781,277.938,285.688,307.062,318.719,314.875,318.938,321.906,337.344,333.469,334.406,285,273.281,276.438,287.656,302.906,316.219,321.094,314.156,322.625,327.688,336.219,331.219,305.688,283.875,280.688,290.531,308.656,314.875,316.406,320.281,327.625,325.438,335.531,333.062,296.25,286.562,282.781,293.688,308,315.125,317.625,322.906,326.031,328.938,333.031,331.906
21.5,75.5,315.25,318.344,331.969,336.844,333.906,288.719,278.25,279.938,283.781,301.594,293.875,315.594,322.656,330.312,342.438,333.062,329.844,287.188,278.344,277.094,287.375,303.031,319.094,327.719,323.969,332.562,351.5,333.125,336.719,296.094,275.844,278.656,286.406,303.406,316.719,315.812,321.562,323.5,336.531,335.031,329.5,282.938,271.562,276.281,286.188,300.094,315.281,322,316.531,325.5,327.531,334.844,329,301.5,282.156,280.031,287.375,303.469,314.219,316.531,322.281,331.562,324.438,333.906,328.312,292.938,286.75,281.656,289.969,304.906,312.531,316.062,324.469,326.406,329.094,331.156,330.625
22.5,70.5,315.219,324.844,348.688,348.156,348.156,323.344,289.688,285.969,303.625,327.688,310.625,314.25,306.875,313.781,337.5,337.781,342.594,325.469,290.344,285.719,300.531,325.562,319.125,317.375,307.5,312.688,341.219,330.406,341.5,322,294.562,285.312,299.594,323.406,320,308.344,308.656,312.469,337.375,332.375,346.312,300.156,283.094,285.312,302.406,318,317.25,315.562,306.875,311.406,325.094,338.406,333,329.719,300.875,291.031,306.969,323.938,318.375,313.969,311.656,316.312,322.844,333.656,345.656,312.906,294.625,296.844,312.5,328.344,318.844,314.938,311.844,324.875,323.5,334.438,338.25
22.5,71.5,315.406,323.938,345.531,348.812,349.406,312.938,288.312,285.875,300.562,321.969,309.656,318.219,310.875,317.062,337.969,338.156,344.375,320.062,288.938,283.5,300.312,324.688,319.625,320.125,310.531,315.656,342.375,332.219,344.5,316.469,292.969,284.125,298.188,322.938,322.875,311.875,311.031,315.594,336.25,334.594,348.406,297.062,282.25,285.906,298.219,314.312,317.594,318.812,307.281,311.531,326.062,339,336.938,324.031,295.75,287.719,306.156,322.5,318.438,314.094,312.906,316.281,321,334.375,347.781,309.438,297.25,293.844,308.094,326.25,319.656,317.719,314.562,321.969,323.188,336.469,338.094
